,Unnamed: 0,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,latitude,longitude,NTA
0,0,1,10,Y4,0,124,2598091,920 GRESHAM ROAD,MANHATTAN,1000010010,1,D,40.686047,-74.023984,Governors Island
1,1,2,23,T2,0,1,24346,20 SOUTH STREET,MANHATTAN,1000020023,0,F,42.865296,-78.865784,First Ward
2,5,9,1,O4,4,1,692431,34 WHITEHALL STREET,MANHATTAN,1000090001,72,B,40.702773,-74.013154,Financial District
3,8,16,40,W1,0,1,134082,55 BATTERY PLACE,MANHATTAN,1000160040,43,D,40.706426,-74.017529,Battery Park City
4,9,16,7523,R0,2,1,302526,325 NORTH END AVENUE,MANHATTAN,1000167523,12,D,40.71698,-74.015041,Battery Park City
5,14,24,1,O4,4,1,974958,60 BROAD STREET,MANHATTAN,1000240001,68,C,40.625212,-74.077247,Stapleton
6,15,26,14,D5,2,2,377214,37 WALL STREET,MANHATTAN,1000260014,36,D,40.706582,-74.01006,Financial District
7,19,28,1,D0,2,1,239121,3 HANOVER SQUARE,MANHATTAN,1000280001,6,D,40.704861,-74.00956,Financial District
8,20,28,5,O4,4,1,292466,5 HANOVER SQUARE,MANHATTAN,1000280005,64,C,40.704944,-74.009177,Financial District
9,21,28,12,O4,4,1,95325,76 BEAVER STREET,MANHATTAN,1000280012,52,D,40.705258,-74.008882,Financial District
10,24,33,1,O4,4,1,541568,77 WATER STREET,MANHATTAN,1000330001,84,B,40.704308,-74.008367,Financial District
11,29,40,16,H3,4,1,119467,52 WILLIAM STREET,MANHATTAN,1000400016,0,F,40.686991,-73.721024,Alden Manor
12,32,52,8,H2,4,1,130054,133 GREENWICH STREET,MANHATTAN,1000520008,40,D,40.709379,-74.012765,Financial District
13,38,75,1,D8,2,1,541000,127 JOHN STREET,MANHATTAN,1000750001,35,D,40.70736,-74.005167,Financial District
14,40,76,6,D7,2,1,101542,56 FULTON STREET,MANHATTAN,1000760006,41,D,40.708519,-74.005096,Financial District
15,43,13,1,O6,4,1,180646,1 BROADWAY,MANHATTAN,1000130001,98,A,40.658403,-73.830472,Howard Beach
16,44,13,5,O4,4,1,434220,11 BROADWAY,MANHATTAN,1000130005,86,A,40.767619,-73.935347,Astoria
17,45,16,120,O4,4,1,1501878,200 LIBERTY STREET,MANHATTAN,1000160120,77,B,40.711226,-74.01539,Battery Park City
18,46,16,140,O4,4,1,2233692,200 VESEY STREET,MANHATTAN,1000160140,80,B,40.713912,-74.014694,Battery Park City
19,47,16,7501,R0,2,1,220821,377 RECTOR PLACE,MANHATTAN,1000167501,47,D,40.709885,-74.017879,Battery Park City
20,48,16,7504,R0,2,1,91774,300 ALBANY STREET,MANHATTAN,1000167504,24,D,40.709975,-74.016852,Battery Park City
21,49,16,7518,R0,2,1,262021,333 RECTOR PLACE,MANHATTAN,1000167518,37,D,40.709568,-74.017327,Battery Park City
22,50,16,7519,R0,2,1,273018,300 NORTH END AVENUE,MANHATTAN,1000167519,27,D,40.716757,-74.014348,Battery Park City
23,51,16,7520,R0,2,1,425407,200 NORTH END AVENUE,MANHATTAN,1000167520,18,D,40.715981,-74.014721,Battery Park City
24,53,21,6,D5,2,1,303086,71 BROADWAY,MANHATTAN,1000210006,68,C,40.707364,-74.012198,Financial District
25,58,25,27,O4,4,1,239071,40 EXCHANGE PLACE,MANHATTAN,1000250027,82,B,40.705702,-74.010285,Financial District
26,59,27,7501,R0,2,1,263582,55 WALL STREET,MANHATTAN,1000277501,1,D,40.706115,-74.009212,Financial District
27,61,31,1,D6,2,1,487404,10 HANOVER SQUARE,MANHATTAN,1000310001,15,D,40.704466,-74.009022,Financial District
28,63,35,10,O4,4,1,990250,111 WALL STREET,MANHATTAN,1000350010,66,C,40.704438,-74.006703,Financial District
29,65,39,38,H3,4,1,42568,126 WATER STREET,MANHATTAN,1000390038,32,D,40.705581,-74.007128,Financial District
30,67,41,24,O6,4,1,42000,62 WILLIAM STREET,MANHATTAN,1000410024,27,D,40.63109,-74.078489,Stapleton
31,70,47,7501,R0,2,1,1736513,120 BROADWAY,MANHATTAN,1000477501,80,B,40.708356,-74.011012,Financial District
32,72,53,38,H2,4,1,70918,100 GREENWICH STREET,MANHATTAN,1000530038,32,D,40.708298,-74.013729,Financial District
33,73,55,7501,R0,2,1,449355,40 RECTOR STREET,MANHATTAN,1000557501,73,B,40.708572,-74.01473,Financial District
34,90,88,10,O6,4,1,71959,30 VESEY STREET,MANHATTAN,1000880010,91,A,40.712114,-74.009817,Tribeca
35,91,90,7503,R0,2,2,313980,5 BEEKMAN STREET,MANHATTAN,1000907503,1,D,40.711324,-74.006713,Financial District
