,Name,Level,year,"<= $20,000","$20,001 -
$40,000","$40,001 -
$60,000","$60,001 -
$100,000","$100,001 -
$250,000","> $250,000"
NYC,New York City,City,2000,18.20%,16.30%,14.80%,21.70%,23.50%,5.40%
NYC,New York City,City,2015-2019,18.00%,16.40%,12.90%,19.90%,25.60%,7.20%
BX,The Bronx,Boro,2000,26.30%,19.40%,16.50%,20.20%,16.00%,1.60%
BX,The Bronx,Boro,2015-2019,29.10%,21.20%,15.60%,18.60%,14.10%,1.50%
BK,Brooklyn,Boro,2000,22.20%,18.20%,15.50%,20.90%,20.20%,3.00%
BK,Brooklyn,Boro,2015-2019,19.00%,17.10%,13.20%,20.00%,25.00%,5.70%
MN,Manhattan,Boro,2000,16.20%,13.20%,12.70%,19.20%,25.80%,12.80%
MN,Manhattan,Boro,2015-2019,16.00%,12.40%,9.30%,16.90%,28.70%,16.70%
QN,Queens,Boro,2000,12.60%,16.20%,15.70%,25.30%,27.00%,3.10%
QN,Queens,Boro,2015-2019,12.90%,17.20%,14.30%,23.40%,28.40%,3.80%
SI,Staten Island,Boro,2000,10.40%,12.00%,12.30%,24.20%,35.60%,5.50%
SI,Staten Island,Boro,2015-2019,12.10%,12.30%,12.40%,21.10%,36.20%,5.80%
BX 01,Mott Haven/Melrose,Community District,2000,40.60%,22.40%,15.10%,13.90%,7.50%,0.50%
BX 01,Mott Haven/Melrose,Community District,2015-2019,42.70%,22.50%,13.70%,12.60%,7.70%,0.80%
BX 02,Hunts Point/Longwood,Community District,2000,40.60%,22.40%,15.10%,13.90%,7.50%,0.50%
BX 02,Hunts Point/Longwood,Community District,2015-2019,42.70%,22.50%,13.70%,12.60%,7.70%,0.80%
BX 03,Morrisania/Crotona,Community District,2000,39.20%,22.50%,16.00%,14.70%,7.00%,0.60%
BX 03,Morrisania/Crotona,Community District,2015-2019,41.00%,22.20%,15.40%,13.70%,7.00%,0.80%
BX 04,Highbridge/Concourse,Community District,2000,32.50%,22.70%,18.00%,17.40%,8.30%,1.10%
BX 04,Highbridge/Concourse,Community District,2015-2019,34.20%,24.60%,16.60%,15.80%,8.00%,0.70%
BX 05,Fordham/University Heights,Community District,2000,35.50%,21.40%,15.20%,17.80%,8.90%,1.20%
BX 05,Fordham/University Heights,Community District,2015-2019,37.40%,22.80%,16.50%,16.40%,6.60%,0.30%
BX 06,Belmont/East Tremont,Community District,2000,39.20%,22.50%,16.00%,14.70%,7.00%,0.60%
BX 06,Belmont/East Tremont,Community District,2015-2019,41.00%,22.20%,15.40%,13.70%,7.00%,0.80%
BX 07,Kingsbridge Heights/Bedford,Community District,2000,27.10%,20.50%,18.50%,20.20%,12.40%,1.30%
BX 07,Kingsbridge Heights/Bedford,Community District,2015-2019,30.20%,23.90%,18.70%,17.70%,9.00%,0.50%
BX 08,Riverdale/Fieldston,Community District,2000,14.90%,14.80%,15.50%,25.40%,24.50%,4.90%
BX 08,Riverdale/Fieldston,Community District,2015-2019,18.30%,17.40%,14.30%,20.30%,24.50%,5.30%
BX 09,Parkchester/Soundview,Community District,2000,25.00%,19.90%,17.70%,21.30%,15.50%,0.60%
