Geography,Name,Level,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NYC,New York City,City,1210.00,1230.00,1250.00,1300.00,1330.00,1330.00,1340.00,1350.00,1390.00,1430.00,1450.00,1450.00,1490.00,1510.00
BX,The Bronx,Boro,1060.00,1070.00,1090.00,1110.00,1140.00,1160.00,1140.00,1160.00,1170.00,1200.00,1210.00,1230.00,1230.00,1250.00
BK,Brooklyn,Boro,1150.00,1180.00,1190.00,1220.00,1270.00,1270.00,1290.00,1310.00,1350.00,1390.00,1440.00,1440.00,1480.00,1510.00
MN,Manhattan,Boro,1390.00,1410.00,1440.00,1560.00,1530.00,1600.00,1620.00,1640.00,1660.00,1750.00,1780.00,1690.00,1810.00,1780.00
QN,Queens,Boro,1370.00,1380.00,1370.00,1430.00,1460.00,1460.00,1460.00,1470.00,1510.00,1560.00,1560.00,1580.00,1640.00,1670.00
SI,Staten Island,Boro,1270.00,1340.00,1300.00,1320.00,1340.00,1270.00,1250.00,1280.00,1250.00,1310.00,1340.00,1350.00,1330.00,1320.00
BX 01,Mott Haven/Melrose,Community District,780.00,770.00,800.00,840.00,830.00,830.00,840.00,910.00,890.00,920.00,1020.00,1020.00,950.00,1000.00
BX 02,Hunts Point/Longwood,Community District,780.00,770.00,800.00,840.00,830.00,830.00,840.00,910.00,890.00,920.00,1020.00,1020.00,950.00,1000.00
BX 03,Morrisania/Crotona,Community District,910.00,930.00,930.00,970.00,970.00,1000.00,970.00,1010.00,980.00,1030.00,1040.00,1080.00,1080.00,1110.00
BX 04,Highbridge/Concourse,Community District,1020.00,1060.00,1070.00,1080.00,1120.00,1110.00,1110.00,1190.00,1140.00,1180.00,1190.00,1180.00,1210.00,1190.00
BX 05,Fordham/University Heights,Community District,1060.00,1060.00,1090.00,1110.00,1170.00,1110.00,1150.00,1110.00,1170.00,1200.00,1200.00,1230.00,1200.00,1240.00
BX 06,Belmont/East Tremont,Community District,910.00,930.00,930.00,970.00,970.00,1000.00,970.00,1010.00,980.00,1030.00,1040.00,1080.00,1080.00,1110.00
BX 07,Kingsbridge Heights/Bedford,Community District,1150.00,1130.00,1160.00,1160.00,1240.00,1240.00,1250.00,1230.00,1260.00,1290.00,1270.00,1320.00,1320.00,1370.00
BX 08,Riverdale/Fieldston,Community District,1200.00,1220.00,1250.00,1290.00,1320.00,1340.00,1340.00,1380.00,1290.00,1410.00,1410.00,1460.00,1430.00,1430.00
BX 09,Parkchester/Soundview,Community District,1090.00,1060.00,1080.00,1110.00,1150.00,1210.00,1140.00,1150.00,1200.00,1210.00,1240.00,1220.00,1240.00,1290.00
BX 10,Throgs Neck/Co-op City,Community District,1130.00,1090.00,1230.00,1150.00,1220.00,1240.00,1100.00,1200.00,1210.00,1150.00,1280.00,1240.00,1210.00,1230.00
BX 11,Morris Park/Bronxdale,Community District,1120.00,1210.00,1160.00,1210.00,1230.00,1270.00,1290.00,1250.00,1330.00,1350.00,1360.00,1340.00,1390.00,1440.00
BX 12,Williamsbridge/Baychester,Community District,1180.00,1200.00,1210.00,1250.00,1230.00,1280.00,1280.00,1330.00,1310.00,1300.00,1350.00,1460.00,1460.00,1380.00
BK 01,Greenpoint/Williamsburg,Community District,1050.00,1210.00,1180.00,1240.00,1250.00,1390.00,1450.00,1420.00,1730.00,1740.00,1870.00,2070.00,1920.00,2060.00
BK 02,Fort Greene/Brooklyn Heights,Community District,1200.00,1350.00,1290.00,1420.00,1620.00,1560.00,1720.00,1640.00,1770.00,1890.00,1920.00,1980.00,2190.00,2260.00
BK 03,Bedford Stuyvesant,Community District,930.00,1000.00,1090.00,1100.00,1120.00,1060.00,1170.00,1160.00,1160.00,1330.00,1390.00,1280.00,1460.00,1460.00
BK 04,Bushwick,Community District,1060.00,1140.00,1180.00,1240.00,1300.00,1320.00,1310.00,1350.00,1380.00,1410.00,1510.00,1510.00,1650.00,1740.00
BK 05,East New York/Starrett City,Community District,1110.00,1130.00,1170.00,1170.00,1200.00,1190.00,1130.00,1220.00,1150.00,1200.00,1210.00,1290.00,1290.00,1220.00
BK 06,Park Slope/Carroll Gardens,Community District,1710.00,1570.00,1800.00,1920.00,1910.00,1940.00,1900.00,2040.00,2170.00,2210.00,2180.00,2360.00,2190.00,2370.00
BK 07,Sunset Park,Community District,1250.00,1230.00,1260.00,1300.00,1360.00,1320.00,1380.00,1380.00,1450.00,1400.00,1500.00,1520.00,1650.00,1570.00
BK 08,Crown Heights/Prospect Heights,Community District,1100.00,1090.00,1150.00,1140.00,1250.00,1210.00,1210.00,1200.00,1270.00,1320.00,1460.00,1310.00,1420.00,1580.00
